상품명,상품설명,가격,할인정보,판매단위,중량/용량,배송구분,포장타입
[자연에찬] 보쌈,100g당 가격 : 4400원,"11,000원",X,1팩,250g,샛별배송/택배배송,냉장/종이포장
[섬죽] 삼계녹두죽,인삼과 닭고기의 진한 향연 ,"6,500원",X,1팩,300g,샛별배송/택배배송,냉장/종이포장
[솔레미오] 프랑스 오리지널 냉동 피자 3종,너도밤나무 화덕에서 한 번 구워져 나온 프리미엄 냉동 피자!,"7,900원",X,1판,상품별,샛별배송/택배배송,냉동/종이포장
[유가원] 유기농 그래놀라 사과와 건포도 60g,네덜란드의 곡물을 만나 더 건강해진,"2,200원",X,1개,60g,샛별배송/택배배송,냉장/종이포장
[더바른도시락] 퀴노아 영양밥 & 닭가슴살 스테이크,입에서 톡톡 터지는 퀴노아의 풍부한 영양,"3,700원",X,1팩,215g,샛별배송/택배배송,냉동/종이포장
[더플랜] 꿔바로우 찹쌀 탕수육,고기의 함량이 많은 북경식 꿔바로우 구현 ,"7,400원",X,1개,430g,샛별배송/택배배송,냉동/종이포장
[섬죽] 속노랑고구마죽,눈과 입을 즐겁게 하는 노란빛 ,"4,900원",X,1팩,300g,샛별배송/택배배송,냉장/종이포장
[모노키친] 콰트로 치즈 까르보나라 스파게티,네 가지 치즈와 베이컨의 조화,"3,500원",X,1팩,300g,샛별배송/택배배송,냉동/종이포장
[유가원] 유기농 키드믹스 40g,95% 이상의 유기농 재료로 만든 시리얼,"2,200원",X,1개,40g,샛별배송/택배배송,냉장/종이포장
[쉐푸드] 찍어먹는 꼬마김밥,겨자소스에 콕 찍어 즐기는 매력,"3,900원",X,1팩,383g,샛별배송/택배배송,냉장/종이포장
[코주부] 유기농 순 육포,유기농 순 육포 (40g),"7,600원",X,1팩,40g,샛별배송/택배배송,상온/종이포장
[마이셰프] 군산식 일품 아귀찜,집에서 만나는 군산의 별미,"15,900원",X,1팩,1245g,샛별배송/택배배송,냉장/종이포장
[윤솜씨] 한우 수제 육포 2종,좋은 재료와 정갈한 마음을 담은 육포 ,"11,500원",X,1봉,상품,샛별배송/택배배송,상온/종이포장
[햇반] 컵반 비빔밥 시리즈 6종,쓱쓱 비벼 먹는 한 그릇 반상,"3,480원",X,1컵,제품별상이(하단참조),샛별배송/택배배송,상온/종이포장
[네니아] 김치 손만두,질리지 않는 매콤함,"13,500원",X,1팩,1kg,샛별배송/택배배송,냉동/종이포장
[풀무원] 얇은피 꽉찬 교자 매콤해물 만두,매콤한 불맛이 듬뿍,"3,980원",X,1봉,304g,샛별배송/택배배송,냉동/종이포장
